Hackathon ID,Hackathon,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments,Gallery URL
25761,Telsem Hack 2025,telsem-hack-2025,Pulsar Digital Funhouse,"The Pulsar Funhouse is website with AI powered games, puzzles and traditional favorites in a playful interface. It tracks user profiles, providing a boredom-busting solution that is ubiquitous.",https://devpost.com/software/pulsar-digital-funhouse,4,7,0,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,Moodflix,"Pick an emoji, get perfect movies - MoodFlix bridges generations with local classics and global hits.",https://devpost.com/software/hacktone-website,3,12,4,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,Parlo,A hassle-free site for temporary group chats.,https://devpost.com/software/parlo,4,6,1,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,comet,Mood Mix: Turn emotions into playlists that fit every moment,https://devpost.com/software/comet-mncd36,4,16,5,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,Vibes,Swipe through songs and find your vibe!,https://devpost.com/software/vibes-tgrxf0,4,3,0,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,Game Night Hub,"Play fun party games like Truth or Dare, Two Truths One Lie, Never Have I Ever, and a pop culture quiz. Perfect for friends or family guaranteed to bring laughter, surprises, and fun!",https://devpost.com/software/game-night-hub,4,1,0,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,Image gussing game,Making fun environment,https://devpost.com/software/image-gussing-game,1,2,0,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,FunHub,FunHub is an all-in-one entertainment platform so you can have fun with friends and compete in the leaderboard! Many games to be added.,https://devpost.com/software/funhub,3,1,0,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,ShebaQuest,"ShebaQuest is an AI chatbot guiding users on a fun, interactive treasure hunt through Queen Sheba’s history, using riddles and clues to bring Ethiopian culture to life.",https://devpost.com/software/shebaquest,3,1,1,https://telsem-hack-2025.devpost.com/project-gallery?page=1
25761,Telsem Hack 2025,telsem-hack-2025,SWYF - SEE WHAT YOU FIT,SWYF – See What You Fit: Experience the Future of Fashion Shopping,https://devpost.com/software/swyf-see-what-you-fit-f7wyrj,1,5,2,https://telsem-hack-2025.devpost.com/project-gallery?page=1
