Hackathon ID,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments
25761,telsem-hack-2025,Pulsar Digital Funhouse,"The Pulsar Funhouse is website with AI powered games, puzzles and traditional favorites in a playful interface. It tracks user profiles, providing a boredom-busting solution that is ubiquitous.",https://devpost.com/software/pulsar-digital-funhouse,4,7,0
25761,telsem-hack-2025,Moodflix,"Pick an emoji, get perfect movies - MoodFlix bridges generations with local classics and global hits.",https://devpost.com/software/hacktone-website,3,12,4
25761,telsem-hack-2025,Parlo,A hassle-free site for temporary group chats.,https://devpost.com/software/parlo,4,6,1
25761,telsem-hack-2025,comet,Mood Mix: Turn emotions into playlists that fit every moment,https://devpost.com/software/comet-mncd36,4,16,5
25761,telsem-hack-2025,Vibes,Swipe through songs and find your vibe!,https://devpost.com/software/vibes-tgrxf0,4,3,0
25761,telsem-hack-2025,Game Night Hub,"Play fun party games like Truth or Dare, Two Truths One Lie, Never Have I Ever, and a pop culture quiz. Perfect for friends or family guaranteed to bring laughter, surprises, and fun!",https://devpost.com/software/game-night-hub,4,1,0
25761,telsem-hack-2025,Image gussing game,Making fun environment,https://devpost.com/software/image-gussing-game,1,2,0
25761,telsem-hack-2025,FunHub,FunHub is an all-in-one entertainment platform so you can have fun with friends and compete in the leaderboard! Many games to be added.,https://devpost.com/software/funhub,3,1,0
25761,telsem-hack-2025,ShebaQuest,"ShebaQuest is an AI chatbot guiding users on a fun, interactive treasure hunt through Queen Sheba’s history, using riddles and clues to bring Ethiopian culture to life.",https://devpost.com/software/shebaquest,3,1,1
25761,telsem-hack-2025,SWYF - SEE WHAT YOU FIT,SWYF – See What You Fit: Experience the Future of Fashion Shopping,https://devpost.com/software/swyf-see-what-you-fit-f7wyrj,1,5,2
25761,telsem-hack-2025,LaughLink - Multiplayer Meme Battle,A real-time multiplayer game where players battle with memes to win laughs!,https://devpost.com/software/laughlink-multiplayer-meme-battle,1,3,0
25761,telsem-hack-2025,Personality-Aware Entertainment,"An AI-powered assistant that curates, analyzes, and re-sorts entertainment content based on your personality, preferences, and mood.",https://devpost.com/software/personality-aware-entertainment,3,4,2
24504,milpitas-hacks-2,Peer+,"Our AI gets and summarizes patient symptoms and history, giving doctors a clear head start or acting as frontline provider in underserved communities where care is limited, especially for minorities.",https://devpost.com/software/peer-1qfn2p,4,3,0
24504,milpitas-hacks-2,KitCreate,"People need to be prepared for natural disasters. Unfortunately, you can't just buy an emergency kit and forget about it. Kit Create helps people create kits and replenish them when supplies expire.",https://devpost.com/software/kit-create,4,2,0
24504,milpitas-hacks-2,ODY,"ODY makes coding feel like a game. Track commits, earn XP, level up, and see consistent progress. Stay motivated and celebrate growth. It's like working out, but for your coding skills.",https://devpost.com/software/ody,3,1,0
24504,milpitas-hacks-2,CallSense,"AI-powered 911 call analysis providing real-time summaries, severity scores, and agency routing to help dispatchers make faster, more informed decisions.",https://devpost.com/software/callsense-jo4hg3,4,2,0
24504,milpitas-hacks-2,Cascade,"Cascade connects disaster survivors with volunteers based on location, urgency, and skills—enabling fast, community-driven aid, allowing all to help-no matter how much or how little someone can offer.",https://devpost.com/software/cascade-4kyna9,3,0,0
24504,milpitas-hacks-2,Book Finder Game,Hi,https://devpost.com/software/book-finder-game,1,0,0
24504,milpitas-hacks-2,BeGood,Post a picture of you doing something good everyday,https://devpost.com/software/begood-0pgmow,2,0,0
24504,milpitas-hacks-2,Halo,"""See the Injustice. Act for Change.""Map pollution and poverty. Mobilize for climate justice.",https://devpost.com/software/halo-e7y3k4,3,0,0
24504,milpitas-hacks-2,adsfgf,adsfdgf,https://devpost.com/software/adsfgf,1,0,0
24504,milpitas-hacks-2,SafeRouter,"This is a website that will allow you to find safe routes when traveling, avoiding places with high crime.",https://devpost.com/software/saferouter,4,1,0
24504,milpitas-hacks-2,Write Knight,"Fun typing game for all ages, awww yeaaa!!",https://devpost.com/software/write-knight,3,0,0
24504,milpitas-hacks-2,Aura AI,"Detect your emotional State based on an Image, AI/ML powered",https://devpost.com/software/aura-ai-yt7zjg,2,1,0
24504,milpitas-hacks-2,KnowMyRights,"Laws can be different in every state, and most people don’t know what their rights are. Our site gives answers about what you can and can’t do especially in situations like protests or police stops.",https://devpost.com/software/knowmyrights,2,1,0
24504,milpitas-hacks-2,Beacon,A light in the chaos.,https://devpost.com/software/beacon-pqvh3a,2,0,0
24504,milpitas-hacks-2,CrossRoads,"A news outlet crossed with a social media platform, specifically designed with the spread of local cultures and news in mind.",https://devpost.com/software/crossroads-s6234n,2,0,0
24504,milpitas-hacks-2,Resq,Using AI to save lives. Easy to use for rescuers and rescuees.,https://devpost.com/software/resq-p9ends,4,0,0
24504,milpitas-hacks-2,Study Swap,Being a student is hard. But it's better knowing you're not alone—thousands of upperclassman before you have also suffered. This platform allows transfer of valuable knowledge to underclassmen.,https://devpost.com/software/study-swap,2,0,0
24504,milpitas-hacks-2,AI travel planner,"Have you ever realized about why is everything AI-dedicated, except for travel planning? Well, erase that question from your mind, because, even now, that is also using AI now.",https://devpost.com/software/ai-travel-planner,1,0,0
24504,milpitas-hacks-2,News Buddies,News Buddies provides an accessible way for youth to consume news without being overloaded by the complicated text and terms that modern articles have.,https://devpost.com/software/news-buddies-abok9r,2,0,0
24504,milpitas-hacks-2,HumanX,Therapy AI for everyone,https://devpost.com/software/humanx-n4dy1k,1,0,0
24504,milpitas-hacks-2,Safe-Spot,"SafeSpot is a mobile app that detects nearby natural disasters and calculates a 1–100 severity score using distance, hazard type, wind speed, elevation, and time of day.",https://devpost.com/software/safe-spot-t9vy7m,4,1,0
24504,milpitas-hacks-2,Intellectra,"Intellectra helps you learn anytime, anywhere—using your voice, your language, and simple AI-powered explanations. No fear, no limits.",https://devpost.com/software/intellectra,3,1,0
24504,milpitas-hacks-2,Break Task,Break Task: a to-do website that incorporates game features to motivate users to achieve productivity,https://devpost.com/software/break-task,3,1,0
