Hackathon	Hackathon Slug	Project Title	Project Description	Project Link	Participants Count	Likes	Comments	Gallery URL
Telsem Hack 2025	telsem-hack-2025	Pulsar Digital Funhouse	"The Pulsar Funhouse is website with AI powered games, puzzles and traditional favorites in a playful interface. It tracks user profiles, providing a boredom-busting solution that is ubiquitous."	https://devpost.com/software/pulsar-digital-funhouse	1	7	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Moodflix	"Pick an emoji, get perfect movies - MoodFlix bridges generations with local classics and global hits."	https://devpost.com/software/hacktone-website	1	12	4	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Parlo	A hassle-free site for temporary group chats.	https://devpost.com/software/parlo	1	6	1	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	comet	Mood Mix: Turn emotions into playlists that fit every moment	https://devpost.com/software/comet-mncd36	1	16	5	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Vibes	Swipe through songs and find your vibe!	https://devpost.com/software/vibes-tgrxf0	1	3	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Game Night Hub	"Play fun party games like Truth or Dare, Two Truths One Lie, Never Have I Ever, and a pop culture quiz. Perfect for friends or family guaranteed to bring laughter, surprises, and fun!"	https://devpost.com/software/game-night-hub	1	1	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Image gussing game	Making fun environment	https://devpost.com/software/image-gussing-game	1	2	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	FunHub	FunHub is an all-in-one entertainment platform so you can have fun with friends and compete in the leaderboard! Many games to be added.	https://devpost.com/software/funhub	1	1	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	ShebaQuest	"ShebaQuest is an AI chatbot guiding users on a fun, interactive treasure hunt through Queen Sheba’s history, using riddles and clues to bring Ethiopian culture to life."	https://devpost.com/software/shebaquest	1	1	1	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	SWYF - SEE WHAT YOU FIT	SWYF – See What You Fit: Experience the Future of Fashion Shopping	https://devpost.com/software/swyf-see-what-you-fit-f7wyrj	1	5	2	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	LaughLink - Multiplayer Meme Battle	A real-time multiplayer game where players battle with memes to win laughs!	https://devpost.com/software/laughlink-multiplayer-meme-battle	1	3	0	https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025	telsem-hack-2025	Personality-Aware Entertainment	"An AI-powered assistant that curates, analyzes, and re-sorts entertainment content based on your personality, preferences, and mood."	https://devpost.com/software/personality-aware-entertainment	1	4	2	https://telsem-hack-2025.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Helping Hand	"As a teen, skills such as cooking, tying knots, and sewing clothes are crucial to be independent, but they aren’t always something you learn by watching a youtube video or two."	https://devpost.com/software/helping-hand-pwkoi6	1	4	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	TeenThrive	"AI independence coach for teens - instant life skills training, real-world simulations, personalized guidance - no signups needed."	https://devpost.com/software/teenthrive	1	0	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Studium	"A gamified study app that helps teens build habits, not just homework checklists."	https://devpost.com/software/studium-k0sfw7	1	3	0	https://recess-hacks-5-0.devpost.com/project-gallery
