Hackathon,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments,Gallery URL
Telsem Hack 2025,telsem-hack-2025,Pulsar Digital Funhouse,"The Pulsar Funhouse is website with AI powered games, puzzles and traditional favorites in a playful interface. It tracks user profiles, providing a boredom-busting solution that is ubiquitous.",https://devpost.com/software/pulsar-digital-funhouse,1,7,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Moodflix,"Pick an emoji, get perfect movies - MoodFlix bridges generations with local classics and global hits.",https://devpost.com/software/hacktone-website,1,12,4,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Parlo,A hassle-free site for temporary group chats.,https://devpost.com/software/parlo,1,6,1,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,comet,Mood Mix: Turn emotions into playlists that fit every moment,https://devpost.com/software/comet-mncd36,1,16,5,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Vibes,Swipe through songs and find your vibe!,https://devpost.com/software/vibes-tgrxf0,1,3,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Game Night Hub,"Play fun party games like Truth or Dare, Two Truths One Lie, Never Have I Ever, and a pop culture quiz. Perfect for friends or family guaranteed to bring laughter, surprises, and fun!",https://devpost.com/software/game-night-hub,1,1,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Image gussing game,Making fun environment,https://devpost.com/software/image-gussing-game,1,2,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,FunHub,FunHub is an all-in-one entertainment platform so you can have fun with friends and compete in the leaderboard! Many games to be added.,https://devpost.com/software/funhub,1,1,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,ShebaQuest,"ShebaQuest is an AI chatbot guiding users on a fun, interactive treasure hunt through Queen Sheba’s history, using riddles and clues to bring Ethiopian culture to life.",https://devpost.com/software/shebaquest,1,1,1,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,SWYF - SEE WHAT YOU FIT,SWYF – See What You Fit: Experience the Future of Fashion Shopping,https://devpost.com/software/swyf-see-what-you-fit-f7wyrj,1,5,2,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,LaughLink - Multiplayer Meme Battle,A real-time multiplayer game where players battle with memes to win laughs!,https://devpost.com/software/laughlink-multiplayer-meme-battle,1,3,0,https://telsem-hack-2025.devpost.com/project-gallery
Telsem Hack 2025,telsem-hack-2025,Personality-Aware Entertainment,"An AI-powered assistant that curates, analyzes, and re-sorts entertainment content based on your personality, preferences, and mood.",https://devpost.com/software/personality-aware-entertainment,1,4,2,https://telsem-hack-2025.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,Peer+,"Our AI gets and summarizes patient symptoms and history, giving doctors a clear head start or acting as frontline provider in underserved communities where care is limited, especially for minorities.",https://devpost.com/software/peer-1qfn2p,1,3,0,https://milpitas-hacks-2.devpost.com/project-gallery
Milpitas Hacks 2.0,milpitas-hacks-2,KitCreate,"People need to be prepared for natural disasters. Unfortunately, you can't just buy an emergency kit and forget about it. Kit Create helps people create kits and replenish them when supplies expire.",https://devpost.com/software/kit-create,1,2,0,https://milpitas-hacks-2.devpost.com/project-gallery
