Project Slug,Member Username,Member URL,Member Description
pulsar-digital-funhouse,RDSTREEM,https://devpost.com/RDSTREEM,I worked as the tech lead on this project and also the co-ordinator. I was involved in most the creation of most of the games as well as helped my team with git and other collaborative tools.
pulsar-digital-funhouse,BIRU-sketch,https://devpost.com/BIRU-sketch,"I worked mainly as a backend and contributed by coming up with game logics,ordering and organising folders,and also fixing technical tasks related to responsiveness and also built some of the games there"
pulsar-digital-funhouse,nahomshadow2,https://devpost.com/nahomshadow2,"I worked mainly on the frontend, coding user interfaces and implementing animations for a smooth, engaging experience, organizing the project structure for clarity, ensuring responsive layouts across devices, and contributing to the development of select games on the platform, while also assisting in some backend tasks. While also writing giving a demo on what the project is etc."
pulsar-digital-funhouse,selamdegarege2521,https://devpost.com/selamdegarege2521,
hacktone-website,pistavrosbegashaw,https://devpost.com/pistavrosbegashaw,"I created the illustration video, gathered references and assets, collaborated with the team for feedback, and polished the final visuals for a professional presentation. Additionally, I set up communication platforms and managed the project on GitHub."
hacktone-website,hermelag877,https://devpost.com/hermelag877,
hacktone-website,mathiastizazu,https://devpost.com/mathiastizazu,
parlo,natitekle81,https://devpost.com/natitekle81,
parlo,nathansalem14,https://devpost.com/nathansalem14,
parlo,gerumberhanu0,https://devpost.com/gerumberhanu0,
parlo,oliyad-mesfin2006,https://devpost.com/oliyad-mesfin2006,
comet-mncd36,nebiyoudaniel123,https://devpost.com/nebiyoudaniel123,I build up the frontend and backend the virtual machine setup for setting up ngrok for hosting the web app
comet-mncd36,kaleabzeru10,https://devpost.com/kaleabzeru10,I came up with the prompt and also contributed in developing the front end of the app.
comet-mncd36,frehailu116,https://devpost.com/frehailu116,I was fixing the bugges and helping with updating the system.
comet-mncd36,mirafmesfin9,https://devpost.com/mirafmesfin9,I worked on the html part. I did learn web design and development so it was quite fun.
vibes-tgrxf0,sokemhaile812,https://devpost.com/sokemhaile812,
vibes-tgrxf0,nahomzekarias34,https://devpost.com/nahomzekarias34,
vibes-tgrxf0,abelkassahunamsalu,https://devpost.com/abelkassahunamsalu,
vibes-tgrxf0,kirubelfiseha47,https://devpost.com/kirubelfiseha47,
game-night-hub,bontugemechu58,https://devpost.com/bontugemechu58,Amazing
game-night-hub,kichu0024237,https://devpost.com/kichu0024237,
game-night-hub,samrawitdamtew425,https://devpost.com/samrawitdamtew425,
game-night-hub,meronabebe298,https://devpost.com/meronabebe298,
image-gussing-game,lak381120,https://devpost.com/lak381120,It was our first time
funhub,nickfouskitakis,https://devpost.com/nickfouskitakis,
funhub,xrisitroudi,https://devpost.com/xrisitroudi,
funhub,iserfiotis,https://devpost.com/iserfiotis,
shebaquest,amenyohannes254,https://devpost.com/amenyohannes254,
shebaquest,solianakindie8,https://devpost.com/solianakindie8,
shebaquest,bitaniakindie,https://devpost.com/bitaniakindie,
swyf-see-what-you-fit-f7wyrj,areyswyam,https://devpost.com/areyswyam,
laughlink-multiplayer-meme-battle,manoj-ctrl,https://devpost.com/manoj-ctrl,I working on full project
personality-aware-entertainment,ammar-a2099,https://devpost.com/ammar-a2099,
personality-aware-entertainment,aelshafey228,https://devpost.com/aelshafey228,
personality-aware-entertainment,AAElnakesh,https://devpost.com/AAElnakesh,
helping-hand-pwkoi6,Sucram314,https://devpost.com/Sucram314,
helping-hand-pwkoi6,spicybigmac,https://devpost.com/spicybigmac,
teenthrive,TheAgencyMGE,https://devpost.com/TheAgencyMGE,
studium-k0sfw7,SarimShoaib29,https://devpost.com/SarimShoaib29,
studium-k0sfw7,arnavgovil1,https://devpost.com/arnavgovil1,
studium-k0sfw7,kishan-cut,https://devpost.com/kishan-cut,
