member_id,project_id
8583,2548
27739,12097
13422,5155
9668,11125
2887,16266
26813,15439
5305,8231
43,13585
8953,16358
10981,4764
5433,9758
10109,9564
5820,1396
33825,16084
31530,13810
9372,12552
24218,6990
18144,11351
24311,17892
15380,5589
14134,6705
2486,16160
4194,12978
27135,12660
15824,16305
650,13028
31941,14641
4519,6322
25152,2022
16074,4560
29881,9719
37035,18457
16464,7096
19683,11894
4292,1845
28203,14238
36306,9946
10217,6870
36939,11541
25522,8687
17984,14730
14035,15853
15590,1896
28017,17742
29707,1504
36425,266
28684,11107
1983,11293
21833,10443
22730,12755
17565,6486
8926,13288
18574,1863
30445,2234
18558,6261
4410,13013
22503,14449
9872,2739
19900,2524
15694,13741
15707,2288
19844,6953
24281,14142
6494,15867
17244,18284
28639,13527
7216,12260
14700,3331
8832,10005
4262,2420
32370,12164
15238,8819
27499,9390
32668,4721
17191,2266
13805,5167
21698,3752
9897,9410
16902,14824
28362,13617
14860,14309
8875,15354
21722,14059
7466,4490
11207,15244
23246,14844
22365,16198
942,1544
17660,15957
10168,15727
8887,1206
35470,5438
22005,11764
10687,13306
16099,9736
12415,16088
29341,6931
37809,980
27360,15810
33091,2335
32654,12037
11152,9857
24566,16424
36868,11929
30126,9181
10067,3046
16516,914
31620,14089
26131,2227
34126,15151
19744,5613
34883,4032
16196,17635
31568,14195
21670,18252
31124,18389
30015,11520
22809,4012
17992,11345
32971,14846
31897,10998
2512,11687
13075,4493
15055,3264
12903,3087
7304,3993
22724,3831
28162,503
23634,13078
23460,11264
1808,8908
24474,11513
23910,9098
20356,4379
35341,765
31687,13767
10083,6952
28860,13773
7720,7566
19887,10050
19740,8790
30918,7919
13450,8785
167,1722
18427,16006
33803,4259
20425,7284
5977,3919
27981,17857
27227,18224
4603,6886
37656,8346
20605,10326
2452,6253
21657,2624
1675,2789
19472,10708
6010,4970
16892,13582
179,16723
406,7046
14909,2398
1443,15178
6540,4252
17610,13506
36691,1494
6379,8028
32309,2297
